id,pillar,title,params
163,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $31,700","{""debts"":[{""name"":""Store card"",""balance"":3900,""apr"":23,""min"":100},{""name"":""Card B"",""balance"":8800,""apr"":21,""min"":220},{""name"":""Card C"",""balance"":800,""apr"":24,""min"":25},{""name"":""Personal loan"",""balance"":4500,""apr"":13,""min"":110},{""name"":""Card A"",""balance"":13700,""apr"":27,""min"":340}],""budget"":1395}"
164,utilization,72% credit utilization? Here is the fix,"{""balance"":1800,""limit"":2500}"
165,min_trap,"What the minimum payment really costs on $6,250","{""balance"":6250,""apr"":18,""min_pct"":1,""min_floor"":25}"
166,extra_payment,"$13,250 credit card debt at 27% APR? Do this","{""balance"":13250,""apr"":27,""payment"":470,""extra"":75}"
167,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $12,100","{""debts"":[{""name"":""Store card"",""balance"":1000,""apr"":23,""min"":25},{""name"":""Card C"",""balance"":11100,""apr"":14,""min"":280}],""budget"":505}"
168,utilization,"How much to pay to get under 30% utilization on a $20,000 card","{""balance"":12200,""limit"":20000}"
169,min_trap,"What the minimum payment really costs on $5,750","{""balance"":5750,""apr"":27,""min_pct"":1,""min_floor"":25}"
170,extra_payment,"Add $150 a month to a $44,000 balance. Watch what happens","{""balance"":44000,""apr"":20,""payment"":1450,""extra"":150}"
171,snowball_vs_avalanche,"Snowball vs Avalanche on $37,300. Which wins?","{""debts"":[{""name"":""Card C"",""balance"":7300,""apr"":14,""min"":180},{""name"":""Store card"",""balance"":2500,""apr"":19,""min"":60},{""name"":""Personal loan"",""balance"":13000,""apr"":24,""min"":325},{""name"":""Card A"",""balance"":14500,""apr"":29,""min"":360}],""budget"":1125}"
172,utilization,35% credit utilization? Here is the fix,"{""balance"":1750,""limit"":5000}"
173,min_trap,"The minimum payment trap on $14,000 of credit card debt","{""balance"":14000,""apr"":22,""min_pct"":1,""min_floor"":25}"
174,extra_payment,"How $250 extra per month kills $34,000 of debt faster","{""balance"":34000,""apr"":25,""payment"":980,""extra"":250}"
175,snowball_vs_avalanche,"Snowball vs Avalanche on $12,600. Which wins?","{""debts"":[{""name"":""Card D"",""balance"":7300,""apr"":29,""min"":180},{""name"":""Card B"",""balance"":5300,""apr"":19,""min"":130}],""budget"":810}"
176,utilization,"Your $650 balance on a $1,500 limit is hurting your score","{""balance"":650,""limit"":1500}"
177,min_trap,"Why your $23,750 card balance never goes down","{""balance"":23750,""apr"":19,""min_pct"":1,""min_floor"":25}"
178,extra_payment,"$6,750 at 18%: paying $260 vs $335 a month","{""balance"":6750,""apr"":18,""payment"":260,""extra"":75}"
179,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $44,700","{""debts"":[{""name"":""Store card"",""balance"":13300,""apr"":15,""min"":330},{""name"":""Personal loan"",""balance"":12600,""apr"":25,""min"":315},{""name"":""Card C"",""balance"":14100,""apr"":20,""min"":350},{""name"":""Card D"",""balance"":1000,""apr"":23,""min"":25},{""name"":""Card A"",""balance"":3700,""apr"":26,""min"":90}],""budget"":1260}"
180,utilization,77% credit utilization? Here is the fix,"{""balance"":1150,""limit"":1500}"
181,min_trap,"$2,500 at 19% APR, minimum payments only. Brutal math","{""balance"":2500,""apr"":19,""min_pct"":1,""min_floor"":25}"
182,extra_payment,"The $75 trick that saves months on $3,500 of debt","{""balance"":3500,""apr"":20,""payment"":100,""extra"":75}"
183,snowball_vs_avalanche,"3 debts, $26,200 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card A"",""balance"":9000,""apr"":19,""min"":225},{""name"":""Personal loan"",""balance"":5300,""apr"":16,""min"":130},{""name"":""Card B"",""balance"":11900,""apr"":12,""min"":300}],""budget"":855}"
184,utilization,70% credit utilization? Here is the fix,"{""balance"":1400,""limit"":2000}"
185,min_trap,"Paying only the minimum on $20,250 takes HOW long?","{""balance"":20250,""apr"":16,""min_pct"":1,""min_floor"":25}"
186,extra_payment,"The $100 trick that saves months on $7,500 of debt","{""balance"":7500,""apr"":20,""payment"":280,""extra"":100}"
187,snowball_vs_avalanche,"Smallest balance first or highest APR first? $25,700 test","{""debts"":[{""name"":""Card A"",""balance"":2300,""apr"":25,""min"":60},{""name"":""Card B"",""balance"":8100,""apr"":14,""min"":200},{""name"":""Store card"",""balance"":7400,""apr"":23,""min"":185},{""name"":""Card D"",""balance"":7900,""apr"":15,""min"":200}],""budget"":945}"
188,utilization,"Pay this much before your statement closes ($2,400 on $2,500)","{""balance"":2400,""limit"":2500}"
189,min_trap,"What the minimum payment really costs on $2,000","{""balance"":2000,""apr"":27,""min_pct"":1,""min_floor"":25}"
190,extra_payment,"$50,000 at 28%: paying $1,550 vs $1,600 a month","{""balance"":50000,""apr"":28,""payment"":1550,""extra"":50}"
191,snowball_vs_avalanche,"2 debts, $13,200 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card A"",""balance"":1900,""apr"":15,""min"":50},{""name"":""Card D"",""balance"":11300,""apr"":23,""min"":280}],""budget"":930}"
192,utilization,"Pay this much before your statement closes ($3,800 on $10,000)","{""balance"":3800,""limit"":10000}"
193,min_trap,"The minimum payment trap on $24,000 of credit card debt","{""balance"":24000,""apr"":23,""min_pct"":1,""min_floor"":25}"
194,extra_payment,"$33,750 credit card debt at 21% APR? Do this","{""balance"":33750,""apr"":21,""payment"":1020,""extra"":250}"
195,snowball_vs_avalanche,"Snowball vs Avalanche on $21,000. Which wins?","{""debts"":[{""name"":""Personal loan"",""balance"":8900,""apr"":18,""min"":220},{""name"":""Store card"",""balance"":2700,""apr"":27,""min"":70},{""name"":""Card D"",""balance"":3800,""apr"":15,""min"":95},{""name"":""Card A"",""balance"":5600,""apr"":29,""min"":140}],""budget"":725}"
196,utilization,"Pay this much before your statement closes ($4,450 on $5,000)","{""balance"":4450,""limit"":5000}"
197,min_trap,"What the minimum payment really costs on $24,500","{""balance"":24500,""apr"":28,""min_pct"":1,""min_floor"":25}"
198,extra_payment,"How $500 extra per month kills $31,000 of debt faster","{""balance"":31000,""apr"":25,""payment"":1030,""extra"":500}"
199,snowball_vs_avalanche,"2 debts, $24,600 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card B"",""balance"":10700,""apr"":21,""min"":270},{""name"":""Store card"",""balance"":13900,""apr"":23,""min"":350}],""budget"":720}"
200,utilization,"Pay this much before your statement closes ($1,250 on $1,500)","{""balance"":1250,""limit"":1500}"
201,min_trap,"Why your $6,250 card balance never goes down","{""balance"":6250,""apr"":21,""min_pct"":1,""min_floor"":25}"
202,extra_payment,"The $200 trick that saves months on $17,750 of debt","{""balance"":17750,""apr"":20,""payment"":530,""extra"":200}"
203,snowball_vs_avalanche,"Snowball vs Avalanche on $30,800. Which wins?","{""debts"":[{""name"":""Personal loan"",""balance"":11400,""apr"":15,""min"":285},{""name"":""Card C"",""balance"":5500,""apr"":15,""min"":140},{""name"":""Card D"",""balance"":4600,""apr"":27,""min"":115},{""name"":""Card B"",""balance"":8100,""apr"":21,""min"":200},{""name"":""Card A"",""balance"":1200,""apr"":24,""min"":30}],""budget"":1170}"
204,utilization,50% credit utilization? Here is the fix,"{""balance"":500,""limit"":1000}"
205,min_trap,"$23,750 at 27% APR, minimum payments only. Brutal math","{""balance"":23750,""apr"":27,""min_pct"":1,""min_floor"":25}"
206,extra_payment,"The $250 trick that saves months on $25,250 of debt","{""balance"":25250,""apr"":21,""payment"":700,""extra"":250}"
207,snowball_vs_avalanche,"Snowball vs Avalanche on $22,200. Which wins?","{""debts"":[{""name"":""Card D"",""balance"":800,""apr"":22,""min"":25},{""name"":""Card C"",""balance"":3000,""apr"":26,""min"":75},{""name"":""Store card"",""balance"":12600,""apr"":23,""min"":315},{""name"":""Card A"",""balance"":1800,""apr"":15,""min"":45},{""name"":""Card B"",""balance"":4000,""apr"":24,""min"":100}],""budget"":960}"
208,utilization,"Your $1,000 balance on a $1,500 limit is hurting your score","{""balance"":1000,""limit"":1500}"
209,min_trap,"The minimum payment trap on $13,750 of credit card debt","{""balance"":13750,""apr"":18,""min_pct"":1,""min_floor"":25}"
210,extra_payment,"Add $75 a month to a $18,250 balance. Watch what happens","{""balance"":18250,""apr"":28,""payment"":630,""extra"":75}"
211,snowball_vs_avalanche,"Smallest balance first or highest APR first? $46,600 test","{""debts"":[{""name"":""Card A"",""balance"":9800,""apr"":14,""min"":245},{""name"":""Card D"",""balance"":9400,""apr"":28,""min"":235},{""name"":""Store card"",""balance"":6100,""apr"":29,""min"":150},{""name"":""Card B"",""balance"":14300,""apr"":13,""min"":360},{""name"":""Personal loan"",""balance"":7000,""apr"":18,""min"":175}],""budget"":1365}"
212,utilization,"Your $650 balance on a $1,000 limit is hurting your score","{""balance"":650,""limit"":1000}"
213,min_trap,"The minimum payment trap on $20,500 of credit card debt","{""balance"":20500,""apr"":28,""min_pct"":1,""min_floor"":25}"
214,extra_payment,"The $50 trick that saves months on $3,000 of debt","{""balance"":3000,""apr"":26,""payment"":90,""extra"":50}"
215,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $28,300","{""debts"":[{""name"":""Store card"",""balance"":6100,""apr"":22,""min"":150},{""name"":""Card D"",""balance"":10300,""apr"":13,""min"":260},{""name"":""Personal loan"",""balance"":11900,""apr"":22,""min"":300}],""budget"":810}"
216,utilization,"Pay this much before your statement closes ($1,550 on $3,000)","{""balance"":1550,""limit"":3000}"
217,min_trap,"Paying only the minimum on $22,000 takes HOW long?","{""balance"":22000,""apr"":20,""min_pct"":1,""min_floor"":25}"
218,extra_payment,"$29,500 at 17%: paying $1,140 vs $1,290 a month","{""balance"":29500,""apr"":17,""payment"":1140,""extra"":150}"
219,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $22,800","{""debts"":[{""name"":""Personal loan"",""balance"":8600,""apr"":22,""min"":215},{""name"":""Card A"",""balance"":12300,""apr"":28,""min"":310},{""name"":""Store card"",""balance"":1900,""apr"":25,""min"":50}],""budget"":975}"
220,utilization,60% credit utilization? Here is the fix,"{""balance"":600,""limit"":1000}"
221,min_trap,"The minimum payment trap on $5,250 of credit card debt","{""balance"":5250,""apr"":18,""min_pct"":1,""min_floor"":25}"
222,extra_payment,"Add $75 a month to a $47,500 balance. Watch what happens","{""balance"":47500,""apr"":22,""payment"":1320,""extra"":75}"
223,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $20,500","{""debts"":[{""name"":""Store card"",""balance"":7900,""apr"":29,""min"":200},{""name"":""Card A"",""balance"":12600,""apr"":28,""min"":315}],""budget"":615}"
224,utilization,"Pay this much before your statement closes ($5,150 on $12,000)","{""balance"":5150,""limit"":12000}"
225,min_trap,"$10,000 at 17% APR, minimum payments only. Brutal math","{""balance"":10000,""apr"":17,""min_pct"":1,""min_floor"":25}"
226,extra_payment,"$41,750 at 27%: paying $1,430 vs $1,505 a month","{""balance"":41750,""apr"":27,""payment"":1430,""extra"":75}"
227,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $33,900","{""debts"":[{""name"":""Personal loan"",""balance"":14500,""apr"":27,""min"":360},{""name"":""Card B"",""balance"":13600,""apr"":18,""min"":340},{""name"":""Store card"",""balance"":5800,""apr"":26,""min"":145}],""budget"":1145}"
228,utilization,"Pay this much before your statement closes ($3,350 on $5,000)","{""balance"":3350,""limit"":5000}"
229,min_trap,"$11,000 at 17% APR, minimum payments only. Brutal math","{""balance"":11000,""apr"":17,""min_pct"":1,""min_floor"":25}"
230,extra_payment,"The $50 trick that saves months on $32,500 of debt","{""balance"":32500,""apr"":28,""payment"":990,""extra"":50}"
231,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $19,800","{""debts"":[{""name"":""Card B"",""balance"":13300,""apr"":12,""min"":330},{""name"":""Card C"",""balance"":6500,""apr"":24,""min"":160}],""budget"":890}"
232,utilization,"Your $1,500 balance on a $2,500 limit is hurting your score","{""balance"":1500,""limit"":2500}"
233,min_trap,"The minimum payment trap on $10,000 of credit card debt","{""balance"":10000,""apr"":15,""min_pct"":1,""min_floor"":25}"
234,extra_payment,"Add $200 a month to a $46,500 balance. Watch what happens","{""balance"":46500,""apr"":28,""payment"":1660,""extra"":200}"
235,snowball_vs_avalanche,"Snowball vs Avalanche on $29,100. Which wins?","{""debts"":[{""name"":""Card A"",""balance"":10600,""apr"":16,""min"":265},{""name"":""Store card"",""balance"":11500,""apr"":27,""min"":290},{""name"":""Card C"",""balance"":7000,""apr"":12,""min"":175}],""budget"":830}"
236,utilization,"Pay this much before your statement closes ($9,500 on $10,000)","{""balance"":9500,""limit"":10000}"
237,min_trap,"Paying only the minimum on $6,750 takes HOW long?","{""balance"":6750,""apr"":16,""min_pct"":1,""min_floor"":25}"
238,extra_payment,"$12,750 credit card debt at 25% APR? Do this","{""balance"":12750,""apr"":25,""payment"":470,""extra"":300}"
239,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $7,200","{""debts"":[{""name"":""Personal loan"",""balance"":4000,""apr"":25,""min"":100},{""name"":""Store card"",""balance"":3200,""apr"":14,""min"":80}],""budget"":580}"
240,utilization,"Pay this much before your statement closes ($1,000 on $1,500)","{""balance"":1000,""limit"":1500}"
241,min_trap,"What the minimum payment really costs on $13,250","{""balance"":13250,""apr"":23,""min_pct"":1,""min_floor"":25}"
242,extra_payment,"How $25 extra per month kills $2,000 of debt faster","{""balance"":2000,""apr"":28,""payment"":60,""extra"":25}"
243,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $35,700","{""debts"":[{""name"":""Card D"",""balance"":1000,""apr"":18,""min"":25},{""name"":""Card B"",""balance"":1100,""apr"":18,""min"":30},{""name"":""Personal loan"",""balance"":13300,""apr"":22,""min"":330},{""name"":""Card A"",""balance"":14000,""apr"":28,""min"":350},{""name"":""Card C"",""balance"":6300,""apr"":29,""min"":160}],""budget"":1195}"
244,utilization,"How much to pay to get under 30% utilization on a $1,000 card","{""balance"":850,""limit"":1000}"
245,min_trap,"Paying only the minimum on $7,750 takes HOW long?","{""balance"":7750,""apr"":28,""min_pct"":1,""min_floor"":25}"
246,extra_payment,"$43,500 at 20%: paying $1,270 vs $1,470 a month","{""balance"":43500,""apr"":20,""payment"":1270,""extra"":200}"
247,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $35,600","{""debts"":[{""name"":""Card D"",""balance"":7700,""apr"":27,""min"":190},{""name"":""Card C"",""balance"":5800,""apr"":28,""min"":145},{""name"":""Personal loan"",""balance"":4400,""apr"":14,""min"":110},{""name"":""Card B"",""balance"":11000,""apr"":14,""min"":275},{""name"":""Card A"",""balance"":6700,""apr"":17,""min"":170}],""budget"":1290}"
248,utilization,"Your $1,650 balance on a $4,000 limit is hurting your score","{""balance"":1650,""limit"":4000}"
249,min_trap,"The minimum payment trap on $8,750 of credit card debt","{""balance"":8750,""apr"":19,""min_pct"":1,""min_floor"":25}"
250,extra_payment,"How $300 extra per month kills $22,750 of debt faster","{""balance"":22750,""apr"":26,""payment"":710,""extra"":300}"
251,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $35,500","{""debts"":[{""name"":""Card A"",""balance"":1600,""apr"":24,""min"":40},{""name"":""Store card"",""balance"":5800,""apr"":17,""min"":145},{""name"":""Card C"",""balance"":14300,""apr"":16,""min"":360},{""name"":""Card B"",""balance"":12800,""apr"":26,""min"":320},{""name"":""Card D"",""balance"":1000,""apr"":14,""min"":25}],""budget"":1040}"
252,utilization,"Pay this much before your statement closes ($2,350 on $4,000)","{""balance"":2350,""limit"":4000}"
253,min_trap,"Why your $1,750 card balance never goes down","{""balance"":1750,""apr"":17,""min_pct"":1,""min_floor"":25}"
254,extra_payment,"How $200 extra per month kills $29,000 of debt faster","{""balance"":29000,""apr"":23,""payment"":880,""extra"":200}"
255,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $19,300","{""debts"":[{""name"":""Personal loan"",""balance"":3400,""apr"":16,""min"":85},{""name"":""Store card"",""balance"":12900,""apr"":26,""min"":320},{""name"":""Card C"",""balance"":3000,""apr"":26,""min"":75}],""budget"":580}"
256,utilization,"Your $8,550 balance on a $15,000 limit is hurting your score","{""balance"":8550,""limit"":15000}"
257,min_trap,"The minimum payment trap on $14,250 of credit card debt","{""balance"":14250,""apr"":19,""min_pct"":1,""min_floor"":25}"
258,extra_payment,"How $75 extra per month kills $42,750 of debt faster","{""balance"":42750,""apr"":26,""payment"":1520,""extra"":75}"
259,snowball_vs_avalanche,"Smallest balance first or highest APR first? $13,600 test","{""debts"":[{""name"":""Card A"",""balance"":3900,""apr"":27,""min"":100},{""name"":""Card B"",""balance"":900,""apr"":29,""min"":25},{""name"":""Personal loan"",""balance"":8800,""apr"":26,""min"":220}],""budget"":945}"
260,utilization,"Your $1,500 balance on a $2,000 limit is hurting your score","{""balance"":1500,""limit"":2000}"
261,min_trap,"Why your $2,500 card balance never goes down","{""balance"":2500,""apr"":21,""min_pct"":1,""min_floor"":25}"
262,extra_payment,"$26,750 credit card debt at 27% APR? Do this","{""balance"":26750,""apr"":27,""payment"":830,""extra"":500}"
263,snowball_vs_avalanche,"3 debts, $22,600 total. Snowball or Avalanche?","{""debts"":[{""name"":""Store card"",""balance"":7300,""apr"":28,""min"":180},{""name"":""Card A"",""balance"":5500,""apr"":29,""min"":140},{""name"":""Card C"",""balance"":9800,""apr"":17,""min"":245}],""budget"":1165}"
264,utilization,"Your $3,350 balance on a $5,000 limit is hurting your score","{""balance"":3350,""limit"":5000}"
265,min_trap,"$21,000 at 23% APR, minimum payments only. Brutal math","{""balance"":21000,""apr"":23,""min_pct"":1,""min_floor"":25}"
266,extra_payment,"How $100 extra per month kills $16,000 of debt faster","{""balance"":16000,""apr"":17,""payment"":480,""extra"":100}"
267,snowball_vs_avalanche,"Smallest balance first or highest APR first? $33,900 test","{""debts"":[{""name"":""Card A"",""balance"":14400,""apr"":20,""min"":360},{""name"":""Store card"",""balance"":2300,""apr"":21,""min"":60},{""name"":""Card B"",""balance"":9400,""apr"":14,""min"":235},{""name"":""Personal loan"",""balance"":7800,""apr"":17,""min"":195}],""budget"":1250}"
268,utilization,"Pay this much before your statement closes ($900 on $2,000)","{""balance"":900,""limit"":2000}"
269,min_trap,"The minimum payment trap on $18,250 of credit card debt","{""balance"":18250,""apr"":24,""min_pct"":1,""min_floor"":25}"
270,extra_payment,"$42,250 credit card debt at 24% APR? Do this","{""balance"":42250,""apr"":24,""payment"":1080,""extra"":25}"
271,snowball_vs_avalanche,"Snowball vs Avalanche on $15,900. Which wins?","{""debts"":[{""name"":""Card D"",""balance"":4300,""apr"":18,""min"":110},{""name"":""Personal loan"",""balance"":11600,""apr"":25,""min"":290}],""budget"":800}"
272,utilization,"Pay this much before your statement closes ($6,800 on $7,500)","{""balance"":6800,""limit"":7500}"
273,min_trap,"Why your $7,000 card balance never goes down","{""balance"":7000,""apr"":27,""min_pct"":1,""min_floor"":25}"
274,extra_payment,"$15,500 at 16%: paying $550 vs $625 a month","{""balance"":15500,""apr"":16,""payment"":550,""extra"":75}"
275,snowball_vs_avalanche,"Smallest balance first or highest APR first? $5,300 test","{""debts"":[{""name"":""Store card"",""balance"":4100,""apr"":15,""min"":100},{""name"":""Card C"",""balance"":1200,""apr"":24,""min"":30}],""budget"":730}"
276,utilization,"Pay this much before your statement closes ($3,750 on $4,000)","{""balance"":3750,""limit"":4000}"
277,min_trap,"$18,250 at 18% APR, minimum payments only. Brutal math","{""balance"":18250,""apr"":18,""min_pct"":1,""min_floor"":25}"
278,extra_payment,"$25,500 at 23%: paying $820 vs $970 a month","{""balance"":25500,""apr"":23,""payment"":820,""extra"":150}"
279,snowball_vs_avalanche,"Snowball vs Avalanche on $11,400. Which wins?","{""debts"":[{""name"":""Card A"",""balance"":7800,""apr"":19,""min"":195},{""name"":""Card C"",""balance"":3600,""apr"":23,""min"":90}],""budget"":385}"
280,utilization,"Pay this much before your statement closes ($2,000 on $3,000)","{""balance"":2000,""limit"":3000}"
281,min_trap,"Why your $22,250 card balance never goes down","{""balance"":22250,""apr"":25,""min_pct"":1,""min_floor"":25}"
282,extra_payment,"Add $250 a month to a $15,000 balance. Watch what happens","{""balance"":15000,""apr"":15,""payment"":570,""extra"":250}"
283,snowball_vs_avalanche,"Smallest balance first or highest APR first? $17,400 test","{""debts"":[{""name"":""Card D"",""balance"":1200,""apr"":13,""min"":30},{""name"":""Store card"",""balance"":8800,""apr"":18,""min"":220},{""name"":""Card C"",""balance"":5800,""apr"":21,""min"":145},{""name"":""Card B"",""balance"":1600,""apr"":28,""min"":40}],""budget"":735}"
284,utilization,"Pay this much before your statement closes ($2,600 on $3,000)","{""balance"":2600,""limit"":3000}"
285,min_trap,"$17,250 at 16% APR, minimum payments only. Brutal math","{""balance"":17250,""apr"":16,""min_pct"":1,""min_floor"":25}"
286,extra_payment,"The $200 trick that saves months on $48,750 of debt","{""balance"":48750,""apr"":21,""payment"":1490,""extra"":200}"
287,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $22,900","{""debts"":[{""name"":""Card B"",""balance"":1100,""apr"":13,""min"":30},{""name"":""Card D"",""balance"":2500,""apr"":22,""min"":60},{""name"":""Card C"",""balance"":12200,""apr"":28,""min"":305},{""name"":""Store card"",""balance"":7100,""apr"":28,""min"":180}],""budget"":725}"
288,utilization,74% credit utilization? Here is the fix,"{""balance"":3700,""limit"":5000}"
289,min_trap,"What the minimum payment really costs on $13,750","{""balance"":13750,""apr"":26,""min_pct"":1,""min_floor"":25}"
290,extra_payment,"$15,750 credit card debt at 28% APR? Do this","{""balance"":15750,""apr"":28,""payment"":400,""extra"":200}"
291,snowball_vs_avalanche,"Snowball vs Avalanche on $22,000. Which wins?","{""debts"":[{""name"":""Personal loan"",""balance"":4400,""apr"":19,""min"":110},{""name"":""Store card"",""balance"":11000,""apr"":27,""min"":275},{""name"":""Card A"",""balance"":3000,""apr"":24,""min"":75},{""name"":""Card D"",""balance"":2600,""apr"":19,""min"":65},{""name"":""Card B"",""balance"":1000,""apr"":15,""min"":25}],""budget"":700}"
292,utilization,"Your $6,750 balance on a $7,500 limit is hurting your score","{""balance"":6750,""limit"":7500}"
293,min_trap,"$18,000 at 23% APR, minimum payments only. Brutal math","{""balance"":18000,""apr"":23,""min_pct"":1,""min_floor"":25}"
294,extra_payment,"How $250 extra per month kills $28,500 of debt faster","{""balance"":28500,""apr"":25,""payment"":920,""extra"":250}"
295,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $32,100","{""debts"":[{""name"":""Card C"",""balance"":8400,""apr"":20,""min"":210},{""name"":""Personal loan"",""balance"":9300,""apr"":18,""min"":230},{""name"":""Store card"",""balance"":14400,""apr"":20,""min"":360}],""budget"":1200}"
296,utilization,96% credit utilization? Here is the fix,"{""balance"":2400,""limit"":2500}"
297,min_trap,"$19,500 at 26% APR, minimum payments only. Brutal math","{""balance"":19500,""apr"":26,""min_pct"":1,""min_floor"":25}"
298,extra_payment,"The $200 trick that saves months on $34,750 of debt","{""balance"":34750,""apr"":22,""payment"":1030,""extra"":200}"
299,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $37,000","{""debts"":[{""name"":""Store card"",""balance"":12400,""apr"":16,""min"":310},{""name"":""Card A"",""balance"":4700,""apr"":21,""min"":120},{""name"":""Card C"",""balance"":14400,""apr"":14,""min"":360},{""name"":""Card B"",""balance"":5500,""apr"":26,""min"":140}],""budget"":1430}"
300,utilization,"Pay this much before your statement closes ($2,200 on $2,500)","{""balance"":2200,""limit"":2500}"
301,min_trap,"The minimum payment trap on $7,500 of credit card debt","{""balance"":7500,""apr"":23,""min_pct"":1,""min_floor"":25}"
302,extra_payment,"Add $100 a month to a $7,750 balance. Watch what happens","{""balance"":7750,""apr"":24,""payment"":280,""extra"":100}"
303,snowball_vs_avalanche,"5 debts, $48,200 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card B"",""balance"":8700,""apr"":15,""min"":220},{""name"":""Store card"",""balance"":14000,""apr"":22,""min"":350},{""name"":""Card A"",""balance"":4600,""apr"":29,""min"":115},{""name"":""Card C"",""balance"":8100,""apr"":16,""min"":200},{""name"":""Card D"",""balance"":12800,""apr"":26,""min"":320}],""budget"":1405}"
304,utilization,64% credit utilization? Here is the fix,"{""balance"":12800,""limit"":20000}"
305,min_trap,"$20,000 at 24% APR, minimum payments only. Brutal math","{""balance"":20000,""apr"":24,""min_pct"":1,""min_floor"":25}"
306,extra_payment,"$9,500 at 28%: paying $330 vs $580 a month","{""balance"":9500,""apr"":28,""payment"":330,""extra"":250}"
307,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $24,400","{""debts"":[{""name"":""Card A"",""balance"":14700,""apr"":27,""min"":370},{""name"":""Card C"",""balance"":5200,""apr"":19,""min"":130},{""name"":""Card D"",""balance"":600,""apr"":24,""min"":25},{""name"":""Personal loan"",""balance"":3900,""apr"":20,""min"":100}],""budget"":825}"
308,utilization,"Pay this much before your statement closes ($9,700 on $12,000)","{""balance"":9700,""limit"":12000}"
309,min_trap,"The minimum payment trap on $1,250 of credit card debt","{""balance"":1250,""apr"":25,""min_pct"":1,""min_floor"":25}"
310,extra_payment,"How $300 extra per month kills $35,000 of debt faster","{""balance"":35000,""apr"":15,""payment"":1230,""extra"":300}"
311,snowball_vs_avalanche,"3 debts, $20,000 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card C"",""balance"":10500,""apr"":21,""min"":260},{""name"":""Personal loan"",""balance"":5800,""apr"":19,""min"":145},{""name"":""Store card"",""balance"":3700,""apr"":16,""min"":90}],""budget"":795}"
312,utilization,"Pay this much before your statement closes ($6,150 on $7,500)","{""balance"":6150,""limit"":7500}"
313,min_trap,"$20,250 at 28% APR, minimum payments only. Brutal math","{""balance"":20250,""apr"":28,""min_pct"":1,""min_floor"":25}"
314,extra_payment,"The $50 trick that saves months on $26,750 of debt","{""balance"":26750,""apr"":23,""payment"":950,""extra"":50}"
315,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $22,400","{""debts"":[{""name"":""Card A"",""balance"":13600,""apr"":18,""min"":340},{""name"":""Personal loan"",""balance"":8800,""apr"":16,""min"":220}],""budget"":710}"
316,utilization,"Your $6,300 balance on a $10,000 limit is hurting your score","{""balance"":6300,""limit"":10000}"
317,min_trap,"What the minimum payment really costs on $17,250","{""balance"":17250,""apr"":26,""min_pct"":1,""min_floor"":25}"
318,extra_payment,"$25,000 at 29%: paying $820 vs $845 a month","{""balance"":25000,""apr"":29,""payment"":820,""extra"":25}"
319,snowball_vs_avalanche,"Snowball vs Avalanche on $26,900. Which wins?","{""debts"":[{""name"":""Personal loan"",""balance"":8700,""apr"":29,""min"":220},{""name"":""Card C"",""balance"":7200,""apr"":21,""min"":180},{""name"":""Card D"",""balance"":11000,""apr"":24,""min"":275}],""budget"":875}"
320,utilization,"Pay this much before your statement closes ($9,600 on $20,000)","{""balance"":9600,""limit"":20000}"
321,min_trap,"Paying only the minimum on $17,750 takes HOW long?","{""balance"":17750,""apr"":23,""min_pct"":1,""min_floor"":25}"
322,extra_payment,"$46,750 credit card debt at 16% APR? Do this","{""balance"":46750,""apr"":16,""payment"":1860,""extra"":300}"
323,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $33,500","{""debts"":[{""name"":""Card C"",""balance"":14700,""apr"":25,""min"":370},{""name"":""Card B"",""balance"":5900,""apr"":24,""min"":150},{""name"":""Personal loan"",""balance"":7000,""apr"":24,""min"":175},{""name"":""Store card"",""balance"":5900,""apr"":29,""min"":150}],""budget"":995}"
324,utilization,"Pay this much before your statement closes ($700 on $1,500)","{""balance"":700,""limit"":1500}"
